idx,anchor,purpose,url,slug,kind,status,http_status,chars,title,html_file,text_file,shot_file,accessed_at,error
1,KLIA Aeropolis – Trang chính thức,Định vị / tổng quan,https://www.aeropolis.com.my/,01_klia_aeropolis_trang_ch_nh_th_c,html,ok,200,5341,KLIA Aeropolis - Airport City of the 21st Century,pages/01_klia_aeropolis_trang_ch_nh_th_c.html,pages/01_klia_aeropolis_trang_ch_nh_th_c.txt,pages/01_klia_aeropolis_trang_ch_nh_th_c.png,2026-08-09T14:55:12.090429+00:00,
2,KLIA Aeropolis – Dự án KLIA Aeropolis,Quy hoạch / phân khu,https://www.aeropolis.com.my/projects/klia-aeropolis,02_klia_aeropolis_d_n_klia_aeropolis,html,ok,200,1885,"KLIA AEROPOLIS | KLIA Aeropolis - Creating Tomorrow, Here",pages/02_klia_aeropolis_d_n_klia_aeropolis.html,pages/02_klia_aeropolis_d_n_klia_aeropolis.txt,pages/02_klia_aeropolis_d_n_klia_aeropolis.png,2026-08-09T14:55:17.836401+00:00,
3,KLIA Aeropolis – Cụm Air Cargo & Logistics,Logistics / hàng hoá,https://www.aeropolis.com.my/clusters/air-cargo-logistics/overview,03_klia_aeropolis_c_m_air_cargo_logistics,html,ok,200,2828,"Overview | KLIA Aeropolis - Creating Tomorrow, Here",pages/03_klia_aeropolis_c_m_air_cargo_logistics.html,pages/03_klia_aeropolis_c_m_air_cargo_logistics.txt,pages/03_klia_aeropolis_c_m_air_cargo_logistics.png,2026-08-09T14:55:20.832361+00:00,
4,KLIA Aeropolis – Aerospace Park,Cụm hàng không vũ trụ / MRO,https://www.aeropolis.com.my/clusters/aerospace-aviation/aerospace-park,04_klia_aeropolis_aerospace_park,html,ok,200,1664,"Aerospace Park | KLIA Aeropolis - Creating Tomorrow, Here",pages/04_klia_aeropolis_aerospace_park.html,pages/04_klia_aeropolis_aerospace_park.txt,pages/04_klia_aeropolis_aerospace_park.png,2026-08-09T14:55:23.613758+00:00,
5,KLIA Aeropolis – Cụm MICE & Leisure,Trải nghiệm / tiện ích điểm nhấn,https://www.aeropolis.com.my/clusters/mice-leisure/overview,05_klia_aeropolis_c_m_mice_leisure,html,ok,200,2729,"Overview | KLIA Aeropolis - Creating Tomorrow, Here",pages/05_klia_aeropolis_c_m_mice_leisure.html,pages/05_klia_aeropolis_c_m_mice_leisure.txt,pages/05_klia_aeropolis_c_m_mice_leisure.png,2026-08-09T14:55:26.328239+00:00,
6,KLIA Aeropolis – Brochure tổng quan (PDF),Tài liệu gốc: quy mô & định vị,https://www.aeropolis.com.my/sites/default/files/KLIA%20Aeropolis%20Brochure.pdf,06_klia_aeropolis_brochure_t_ng_quan_pdf,pdf,ok,200,13465,,pages/06_klia_aeropolis_brochure_t_ng_quan_pdf.pdf,pages/06_klia_aeropolis_brochure_t_ng_quan_pdf.txt,,2026-08-09T14:55:29.105665+00:00,
7,Wikipedia – Kuala Lumpur International Airport,Đối chiếu KPI / hạ tầng / lịch sử,https://en.wikipedia.org/wiki/Kuala_Lumpur_International_Airport,07_wikipedia_kuala_lumpur_international_airport,html,ok,200,118377,Kuala Lumpur International Airport - Wikipedia,pages/07_wikipedia_kuala_lumpur_international_airport.html,pages/07_wikipedia_kuala_lumpur_international_airport.txt,pages/07_wikipedia_kuala_lumpur_international_airport.png,2026-08-09T14:55:33.003285+00:00,
8,Wikipedia – KLIA Ekspres,Thuận tiện / Rail,https://en.wikipedia.org/wiki/KLIA_Ekspres,08_wikipedia_klia_ekspres,html,ok,200,25309,KLIA Ekspres - Wikipedia,pages/08_wikipedia_klia_ekspres.html,pages/08_wikipedia_klia_ekspres.txt,pages/08_wikipedia_klia_ekspres.png,2026-08-09T14:56:07.756439+00:00,
9,Wikipedia – Sepang District,Đô thị hậu phương / bối cảnh,https://en.wikipedia.org/wiki/Sepang_District,09_wikipedia_sepang_district,html,ok,200,21842,Sepang District - Wikipedia,pages/09_wikipedia_sepang_district.html,pages/09_wikipedia_sepang_district.txt,pages/09_wikipedia_sepang_district.png,2026-08-09T14:56:12.253453+00:00,
10,Malaysia Airports (MAHB) – Trang chính,Chủ đầu tư / quản trị,https://www.malaysiaairports.com.my/,10_malaysia_airports_mahb_trang_ch_nh,html,ok,200,4662,KLIA Terminal 1 – Kuala Lumpur International Airport | Malaysia Airports,pages/10_malaysia_airports_mahb_trang_ch_nh.html,pages/10_malaysia_airports_mahb_trang_ch_nh.txt,pages/10_malaysia_airports_mahb_trang_ch_nh.png,2026-08-09T14:56:15.082021+00:00,
