Case: Hong Kong Airport City / SKYCITY (Hong Kong) — sân bay Hong Kong International Airport (HKIA)
Đặc thù: airport city trên đảo nhân tạo Chek Lap Kok do Airport Authority Hong Kong (cơ quan luật định)
vừa vận hành sân bay vừa làm chủ đầu tư bất động sản; lõi thương mại SKYCITY gắn AsiaWorld-Expo, mở rộng
bằng hệ 3 đường băng (3RS) và gắn với chiến lược Northern Metropolis/Greater Bay Area.
Nguồn đã fetch xác minh 09/08/2026 — các dòng chính đã probe sống.

| #      | Website / nguồn                                                                                     | Tiêu chí trong benchmark                      | Có thể lấy dữ liệu gì?                                                                                                          | Mức độ ưu tiên |
| ------ | ----------------------------------------------------------------------------------------------------- | --------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------- | -------------- |
| **1**  | [HKIA – Facts & Figures](https://www.hongkongairport.com/en/the-airport/hkia-at-a-glance/fact-figures.page) | **Số liệu headline (nguồn chuẩn)**            | `passengers_million`, `cargo_million_tonnes`, `air_movements`, `destinations`, `airlines`: bảng chỉ số vận hành do AAHK công bố | ⭐⭐⭐⭐⭐          |
| **2**  | [HKIA – Vision & Mission (Airport Authority)](https://www.hongkongairport.com/en/airport-authority/vision-mission/index.page) | **Tầm nhìn / quản trị**                       | `vision_label`, `vision_qualities`, `investor_governance`: tầm nhìn Airport City, sứ mệnh AAHK, giá trị cốt lõi | ⭐⭐⭐⭐⭐          |
| **3**  | [HKIA – Three-Runway System (tổng quan dự án)](https://threerunwaysystem.hongkongairport.com/en/three-runway-system/project-overview/) | **Đầu tư / mở rộng công suất**                | `total_investment_usd`, `airport_build_period`: 3RS khởi công 2016, đường băng 3 vận hành 11/2024, quy mô "như xây thêm một sân bay" | ⭐⭐⭐⭐⭐          |
| **4**  | [AAHK – Thông cáo SKYTOPIA / Airport City](https://www.hongkongairport.com/en/media-centre/press-release/2024/pr_1754) | **Định vị / phân khu**                        | `positioning`, `planning_concept`, `subzones`: tầm nhìn Airport City "SKYTOPIA", các hợp phần thương mại – giải trí – triển lãm | ⭐⭐⭐⭐⭐          |
| **5**  | [AsiaWorld-Expo – SKYCITY](https://www.asiaworld-expo.com/en-us/visiting/around-awe/skycity/)          | **Lõi thương mại / trải nghiệm**              | `commercial_re`, `highlight_amenities`, `cvp_experience`: SKYCITY nối thẳng AsiaWorld-Expo, 11 SKIES (bán lẻ – ẩm thực – giải trí), khách sạn | ⭐⭐⭐⭐⭐          |
| **6**  | [Wikipedia – Hong Kong International Airport](https://en.wikipedia.org/wiki/Hong_Kong_International_Airport) | **Đối chiếu KPI / hạ tầng / lịch sử**         | Đối chiếu `passengers_million`, `cargo_million_tonnes`, `air_movements`, `airport_area_ha`; `founded_year` 1998; đảo nhân tạo Chek Lap Kok | ⭐⭐⭐⭐⭐          |
| **7**  | [Wikipedia – HKIA Master Plan 2030](https://en.wikipedia.org/wiki/Hong_Kong_International_Airport_Master_Plan_2030) | **Quy hoạch / dự báo công suất**              | `planning_concept`, công suất mục tiêu: dự báo **102 triệu khách · 8,9 triệu tấn hàng · 607.000 lượt bay** vào 2030 | ⭐⭐⭐⭐⭐          |
| **8**  | [Wikipedia – AsiaWorld-Expo](https://en.wikipedia.org/wiki/AsiaWorld-Expo)                             | **Tiện ích điểm nhấn / MICE**                 | `highlight_amenities`, `experience_desc`: trung tâm triển lãm cạnh sân bay, giai đoạn 2 gồm arena **hơn 20.000 chỗ** | ⭐⭐⭐⭐           |
| **9**  | [Wikipedia – Tung Chung](https://en.wikipedia.org/wiki/Tung_Chung)                                     | **Đô thị hậu phương / dân cư**                | `residential_product_desc`, `reference_city`, `subzones`: thị trấn mới Tung Chung cạnh sân bay, dân số, mở rộng Tung Chung East/West | ⭐⭐⭐⭐⭐          |
| **10** | [Wikipedia – Tung Chung line](https://en.wikipedia.org/wiki/Tung_Chung_line)                           | **Thuận tiện / Rail**                         | `rail_connections`, `metro_lines`, `cvp_convenience`: tuyến MTR nối Hong Kong – Tung Chung, chạy song song Airport Express | ⭐⭐⭐⭐⭐          |
| **11** | [Wikipedia – SkyPier](https://en.wikipedia.org/wiki/SkyPier)                                           | **Kết nối đa phương thức**                    | `connection_modes`, `cvp_convenience`: bến tàu cao tốc nối thẳng sân bay với các cảng Châu Giang, trung chuyển không cần nhập cảnh | ⭐⭐⭐⭐           |
| **12** | [Wikipedia – Airport Authority Hong Kong](https://en.wikipedia.org/wiki/Airport_Authority_Hong_Kong)   | **Chủ đầu tư / quản trị**                     | `investor_governance`, `lead_developer`: cơ quan luật định thuộc Chính quyền Hong Kong, vai trò vận hành & phát triển BĐS | ⭐⭐⭐⭐⭐          |
| **13** | [Wikipedia – Northern Metropolis](https://en.wikipedia.org/wiki/Northern_Metropolis)                   | **Bối cảnh quy hoạch vùng**                   | `development_context`: chiến lược đô thị phía bắc Hong Kong, liên kết Greater Bay Area, hạ tầng xuyên biên giới | ⭐⭐⭐            |
| **14** | [Wikipedia – Hong Kong–Zhuhai–Macau Bridge](https://en.wikipedia.org/wiki/Hong_Kong%E2%80%93Zhuhai%E2%80%93Macau_Bridge) | **Kết nối vùng / logistics**                  | `cvp_convenience`, `connection_modes`: cầu vượt biển nối sân bay với Chu Hải – Ma Cao, rút ngắn thời gian tới Tây Châu Giang | ⭐⭐⭐            |
| **15** | [Wikipedia – Cathay Pacific](https://en.wikipedia.org/wiki/Cathay_Pacific)                             | **Hãng chủ nhà / hệ sinh thái**               | `brand_partners`, `cvp_brand`: hãng hàng không chủ nhà đặt trụ sở tại Cathay City trong khuôn viên sân bay | ⭐⭐⭐            |
