idx,anchor,purpose,url,slug,kind,status,http_status,chars,title,html_file,text_file,shot_file,accessed_at,error
1,HKIA – Facts & Figures,Số liệu headline (nguồn chuẩn),https://www.hongkongairport.com/en/the-airport/hkia-at-a-glance/fact-figures.page,01_hkia_facts_figures,html,ok,200,4536,"Facts and Figures, HKIA at a Glance - Hong Kong International Airport",pages/01_hkia_facts_figures.html,pages/01_hkia_facts_figures.txt,pages/01_hkia_facts_figures.png,2026-08-09T14:53:11.106477+00:00,
2,HKIA – Vision & Mission (Airport Authority),Tầm nhìn / quản trị,https://www.hongkongairport.com/en/airport-authority/vision-mission/index.page,02_hkia_vision_mission_airport_authority,html,ok,200,4002,"Vision and Mission, Airport Authority - Hong Kong International Airport",pages/02_hkia_vision_mission_airport_authority.html,pages/02_hkia_vision_mission_airport_authority.txt,pages/02_hkia_vision_mission_airport_authority.png,2026-08-09T14:53:16.149129+00:00,
3,HKIA – Three-Runway System (tổng quan dự án),Đầu tư / mở rộng công suất,https://threerunwaysystem.hongkongairport.com/en/three-runway-system/project-overview/,03_hkia_three_runway_system_t_ng_quan_d_n,html,ok,200,1517,Project Overview | Three Runway System,pages/03_hkia_three_runway_system_t_ng_quan_d_n.html,pages/03_hkia_three_runway_system_t_ng_quan_d_n.txt,pages/03_hkia_three_runway_system_t_ng_quan_d_n.png,2026-08-09T14:53:19.613718+00:00,
4,AAHK – Thông cáo SKYTOPIA / Airport City,Định vị / phân khu,https://www.hongkongairport.com/en/media-centre/press-release/2024/pr_1754,04_aahk_th_ng_c_o_skytopia_airport_city,html,ok,200,8489,"Press Releases, Media Centre - Hong Kong International Airport",pages/04_aahk_th_ng_c_o_skytopia_airport_city.html,pages/04_aahk_th_ng_c_o_skytopia_airport_city.txt,pages/04_aahk_th_ng_c_o_skytopia_airport_city.png,2026-08-09T14:53:26.689272+00:00,
5,AsiaWorld-Expo – SKYCITY,Lõi thương mại / trải nghiệm,https://www.asiaworld-expo.com/en-us/visiting/around-awe/skycity/,05_asiaworld_expo_skycity,html,ok,200,4057,SKYCITY,pages/05_asiaworld_expo_skycity.html,pages/05_asiaworld_expo_skycity.txt,pages/05_asiaworld_expo_skycity.png,2026-08-09T14:53:30.004567+00:00,
6,Wikipedia – Hong Kong International Airport,Đối chiếu KPI / hạ tầng / lịch sử,https://en.wikipedia.org/wiki/Hong_Kong_International_Airport,06_wikipedia_hong_kong_international_airport,html,ok,200,108243,Hong Kong International Airport - Wikipedia,pages/06_wikipedia_hong_kong_international_airport.html,pages/06_wikipedia_hong_kong_international_airport.txt,pages/06_wikipedia_hong_kong_international_airport.png,2026-08-09T14:53:35.255984+00:00,
7,Wikipedia – HKIA Master Plan 2030,Quy hoạch / dự báo công suất,https://en.wikipedia.org/wiki/Hong_Kong_International_Airport_Master_Plan_2030,07_wikipedia_hkia_master_plan_2030,html,ok,200,43497,Hong Kong International Airport Master Plan 2030 - Wikipedia,pages/07_wikipedia_hkia_master_plan_2030.html,pages/07_wikipedia_hkia_master_plan_2030.txt,pages/07_wikipedia_hkia_master_plan_2030.png,2026-08-09T14:53:56.184851+00:00,
8,Wikipedia – AsiaWorld-Expo,Tiện ích điểm nhấn / MICE,https://en.wikipedia.org/wiki/AsiaWorld-Expo,08_wikipedia_asiaworld_expo,html,ok,200,13235,AsiaWorld–Expo - Wikipedia,pages/08_wikipedia_asiaworld_expo.html,pages/08_wikipedia_asiaworld_expo.txt,pages/08_wikipedia_asiaworld_expo.png,2026-08-09T14:53:59.333988+00:00,
9,Wikipedia – Tung Chung,Đô thị hậu phương / dân cư,https://en.wikipedia.org/wiki/Tung_Chung,09_wikipedia_tung_chung,html,ok,200,44513,Tung Chung - Wikipedia,pages/09_wikipedia_tung_chung.html,pages/09_wikipedia_tung_chung.txt,pages/09_wikipedia_tung_chung.png,2026-08-09T14:54:02.038444+00:00,
10,Wikipedia – Tung Chung line,Thuận tiện / Rail,https://en.wikipedia.org/wiki/Tung_Chung_line,10_wikipedia_tung_chung_line,html,ok,200,19227,Tung Chung line - Wikipedia,pages/10_wikipedia_tung_chung_line.html,pages/10_wikipedia_tung_chung_line.txt,pages/10_wikipedia_tung_chung_line.png,2026-08-09T14:54:05.890751+00:00,
