Case: KLIA Aeropolis (Malaysia) — sân bay Kuala Lumpur International Airport (KLIA)
Đặc thù: airport city do Malaysia Airports Holdings Berhad (MAHB) phát triển trên quỹ đất sẵn có quanh
KLIA, tổ chức theo BA CỤM chức năng — Air Cargo & Logistics · Aerospace & Aviation · MICE & Leisure —
gắn với Digital Free Trade Zone (hợp tác Alibaba eWTP). Nguồn đã fetch xác minh 09/08/2026.

| #      | Website / nguồn                                                                                     | Tiêu chí trong benchmark                      | Có thể lấy dữ liệu gì?                                                                                                          | Mức độ ưu tiên |
| ------ | ----------------------------------------------------------------------------------------------------- | --------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------- | -------------- |
| **1**  | [KLIA Aeropolis – Trang chính thức](https://www.aeropolis.com.my/)                                     | **Định vị / tổng quan**                       | `positioning`, `planning_concept`, `official_website`: định vị "Airport City of the 21st Century", ba cụm chức năng, quy mô ~**100 km²** | ⭐⭐⭐⭐⭐          |
| **2**  | [KLIA Aeropolis – Dự án KLIA Aeropolis](https://www.aeropolis.com.my/projects/klia-aeropolis)          | **Quy hoạch / phân khu**                      | `subzones`, `planning_concept`: cấu trúc dự án, các phân khu triển khai, tiến độ | ⭐⭐⭐⭐⭐          |
| **3**  | [KLIA Aeropolis – Cụm Air Cargo & Logistics](https://www.aeropolis.com.my/clusters/air-cargo-logistics/overview) | **Logistics / hàng hoá**                      | `logistics_park_ha`, `cvp_product`, `commercial_re`: mạng hậu cần tích hợp air–sea–land, mục tiêu thành cửa ngõ phân phối ASEAN | ⭐⭐⭐⭐⭐          |
| **4**  | [KLIA Aeropolis – Aerospace Park](https://www.aeropolis.com.my/clusters/aerospace-aviation/aerospace-park) | **Cụm hàng không vũ trụ / MRO**               | `subzones`, `commercial_re`: khu công nghiệp hàng không — sản xuất, MRO, R&D, đào tạo; định hướng Industry 4.0 | ⭐⭐⭐⭐⭐          |
| **5**  | [KLIA Aeropolis – Cụm MICE & Leisure](https://www.aeropolis.com.my/clusters/mice-leisure/overview)     | **Trải nghiệm / tiện ích điểm nhấn**          | `highlight_amenities`, `cvp_experience`, `experience_desc`: ASEAN pavilion, indoor arena, trung tâm hội nghị, điểm đến du lịch | ⭐⭐⭐⭐⭐          |
| **6**  | [KLIA Aeropolis – Brochure tổng quan (PDF)](https://www.aeropolis.com.my/sites/default/files/KLIA%20Aeropolis%20Brochure.pdf) | **Tài liệu gốc: quy mô & định vị**            | `area_km2`, `subzones`, `total_investment_usd`, `jobs_created`: brochure chính thức — diện tích từng cụm, mục tiêu đầu tư và việc làm (PDF, bóc bằng PyMuPDF) | ⭐⭐⭐⭐⭐          |
| **7**  | [Wikipedia – Kuala Lumpur International Airport](https://en.wikipedia.org/wiki/Kuala_Lumpur_International_Airport) | **Đối chiếu KPI / hạ tầng / lịch sử**         | `passengers_million`, `cargo_million_tonnes`, `air_movements`, `airport_area_ha`, `founded_year` 1998; KLIA1 & KLIA2, 3 đường băng | ⭐⭐⭐⭐⭐          |
| **8**  | [Wikipedia – KLIA Ekspres](https://en.wikipedia.org/wiki/KLIA_Ekspres)                                 | **Thuận tiện / Rail**                         | `rail_connections`, `metro_lines`, `cvp_convenience`: tàu tốc hành KL Sentral – KLIA **~28 phút**, tuyến ERL, dịch vụ check-in nội đô | ⭐⭐⭐⭐⭐          |
| **9**  | [Wikipedia – Sepang District](https://en.wikipedia.org/wiki/Sepang_District)                           | **Đô thị hậu phương / bối cảnh**              | `reference_city`, `development_context`, `residential_product_desc`: huyện Sepang bao quanh sân bay, dân số, Cyberjaya/Putrajaya lân cận, trường đua F1 | ⭐⭐⭐⭐           |
| **10** | [Malaysia Airports (MAHB) – Trang chính](https://www.malaysiaairports.com.my/)                         | **Chủ đầu tư / quản trị**                     | `investor_governance`, `lead_developer`, `cvp_brand`: MAHB vận hành mạng sân bay Malaysia và là chủ đầu tư KLIA Aeropolis | ⭐⭐⭐⭐⭐          |
| **11** | [Wikipedia – Malaysia Airports Holdings](https://en.wikipedia.org/wiki/Malaysia_Airports_Holdings)     | **Cơ cấu sở hữu / quy mô**                    | `investor_governance`: cơ cấu cổ đông (Khazanah, EPF), số sân bay vận hành, quy mô doanh nghiệp | ⭐⭐⭐⭐           |
| **12** | [Wikipedia – KL International Airport Aeropolis / DFTZ](https://en.wikipedia.org/wiki/Malaysia_Digital_Economy_Corporation)           | **Đặc khu số / thương mại điện tử**           | `economic_zone_name`, `economic_zone_year`, `total_investment_usd`: DFTZ gắn KLIA Aeropolis, hợp tác Alibaba eWTP, vốn bổ sung ~RM700 triệu | ⭐⭐⭐⭐⭐          |
| **13** | [Wikipedia – klia2](https://en.wikipedia.org/wiki/Klia2)                                               | **Nhà ga giá rẻ / thương mại**                | `commercial_re`, `highlight_amenities`: nhà ga LCC lớn nhất thế giới khi khai trương, gudang/khu bán lẻ gudang Gateway@klia2 | ⭐⭐⭐⭐           |
| **14** | [Wikipedia – Cyberjaya](https://en.wikipedia.org/wiki/Cyberjaya)                                       | **Đô thị công nghệ lân cận**                  | `development_context`, `reference_city`: thành phố công nghệ trong hành lang MSC, liên kết với vùng sân bay | ⭐⭐⭐            |
| **15** | [Wikipedia – Sepang International Circuit](https://en.wikipedia.org/wiki/Sepang_International_Circuit) | **Tiện ích điểm nhấn / du lịch sự kiện**      | `highlight_amenities`, `experience_desc`: trường đua quốc tế cạnh sân bay, sự kiện thể thao – động lực du lịch MICE | ⭐⭐⭐            |
